Epoch: [0][860/9537], lr: 0.01000	Time 0.228 (0.237)	Data 0.000 (0.004)	Loss 4.7923 (5.8932)	Prec@1 0.000 (1.161)	Prec@5 0.000 (5.110)
Epoch: [0][880/9537], lr: 0.01000	Time 0.231 (0.237)	Data 0.000 (0.004)	Loss 4.9416 (5.8670)	Prec@1 0.000 (1.135)	Prec@5 0.000 (5.335)
Epoch: [0][900/9537], lr: 0.01000	Time 0.231 (0.237)	Data 0.000 (0.004)	Loss 5.5858 (5.8467)	Prec@1 0.000 (1.110)	Prec@5 0.000 (5.216)
Epoch: [0][920/9537], lr: 0.01000	Time 0.231 (0.237)	Data 0.000 (0.004)	Loss 5.3198 (5.8299)	Prec@1 0.000 (1.086)	Prec@5 0.000 (5.103)
Epoch: [0][940/9537], lr: 0.01000	Time 0.230 (0.237)	Data 0.000 (0.004)	Loss 4.9819 (5.8101)	Prec@1 0.000 (1.063)	Prec@5 0.000 (4.995)
Epoch: [0][960/9537], lr: 0.01000	Time 0.230 (0.236)	Data 0.000 (0.003)	Loss 4.6782 (5.7901)	Prec@1 0.000 (1.041)	Prec@5 0.000 (4.891)
Epoch: [0][980/9537], lr: 0.01000	Time 0.231 (0.236)	Data 0.000 (0.003)	Loss 6.2019 (5.7691)	Prec@1 0.000 (1.121)	Prec@5 0.000 (4.893)
Epoch: [0][1000/9537], lr: 0.01000	Time 0.230 (0.236)	Data 0.000 (0.003)	Loss 5.6591 (5.7530)	Prec@1 0.000 (1.099)	Prec@5 0.000 (4.895)
Epoch: [0][1020/9537], lr: 0.01000	Time 0.229 (0.236)	Data 0.000 (0.003)	Loss 5.1384 (5.7335)	Prec@1 0.000 (1.077)	Prec@5 0.000 (4.995)
Epoch: [0][1040/9537], lr: 0.01000	Time 0.230 (0.236)	Data 0.000 (0.003)	Loss 4.7226 (5.7133)	Prec@1 0.000 (1.057)	Prec@5 0.000 (4.899)
Epoch: [0][1060/9537], lr: 0.01000	Time 0.250 (0.236)	Data 0.000 (0.003)	Loss 4.8193 (5.7026)	Prec@1 0.000 (1.037)	Prec@5 0.000 (4.901)
Epoch: [0][1080/9537], lr: 0.01000	Time 0.234 (0.236)	Data 0.000 (0.003)	Loss 6.0103 (5.6927)	Prec@1 0.000 (1.018)	Prec@5 0.000 (4.810)
Epoch: [0][1100/9537], lr: 0.01000	Time 0.230 (0.236)	Data 0.000 (0.003)	Loss 4.2557 (5.6761)	Prec@1 0.000 (0.999)	Prec@5 0.000 (4.905)
Epoch: [0][1120/9537], lr: 0.01000	Time 0.234 (0.236)	Data 0.000 (0.003)	Loss 6.2783 (5.6658)	Prec@1 0.000 (0.981)	Prec@5 0.000 (4.996)
Epoch: [0][1140/9537], lr: 0.01000	Time 0.228 (0.236)	Data 0.000 (0.003)	Loss 5.0442 (5.6517)	Prec@1 0.000 (0.964)	Prec@5 0.000 (4.996)
